iso3_country_code,market_name,commodity_name,measure_unit_label,source_name,weekly,monthly
IPS,United States of America,"Soybean (US, c.i.f. Rotterdam)",tonne,Oil World,,Jan-96 - Aug-25
IPS,"United States of America (Cushing, OK)",Crude oil (WTI),Barrel,Bloomberg; Energy Intelligence Group (EIG); Organization of Petroleum Exporting Countries (OPEC); World Bank via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,United States of America (Gulf),"Diammonium phosphate, DAP (P fertilizer)",tonne,Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC) via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,United States of America (Gulf),"Maize (US No. 2, Yellow)",tonne,USDA,07-Jan-05 - 26-Sep-25,Jan-05 - Sep-25
IPS,United States of America (Gulf),Sorghum,tonne,International Grains Council,05-Jun-01 - 18-Oct-22,Jun-01 - Sep-25
IPS,United States of America (Gulf),"Triple Superphosphate, TSP (P fertilizer)",tonne,Bloomberg; Bloomberg L.P. - Green Markets (formerly Kennedy Information LLC) via the World Bank Pink Sheet,,Jan-00 - Sep-25
IPS,United States of America (Gulf),"Wheat (US No. 2, Hard Red Winter)",tonne,International Grains Council,07-Jan-05 - 26-Sep-25,Jan-05 - Sep-25
IPS,United States of America (Gulf),"Wheat (US No. 2, Soft Red Winter)",tonne,USDA,07-Jan-05 - 26-Sep-25,Jan-05 - Sep-25
IPS,United States of America (US East Coast),"Bananas (Main Brands Central America, Delivered at Terminal)",Box (18.14 kg),NOTIFAX (CORBANA). From June 2017 SOPISCO,03-Jan-97 - 22-Oct-25,Dec-96 - Oct-25
IPS,United States of America (US East Coast),"Bananas (Other Brands Central America, Delivered at Terminal)",Box (18.14 kg),NOTIFAX (CORBANA). From June 2017 SOPISCO,03-Jan-97 - 22-Oct-25,Dec-96 - Oct-25
IPS,United States of America (US Gulf ports),"Bananas (Main brands Central and South America, Free on Truck)",tonne,World Bank Commodity Price Data (The Pink Sheet),,Jan-95 - Sep-25
IPS,United States of America (US West Coast),"Bananas (Main Brands Central America, Delivered at Terminal)",Box (18.14 kg),NOTIFAX (CORBANA). From June 2017 SOPISCO,03-Jan-97 - 22-Oct-25,Dec-96 - Oct-25
IPS,United States of America (US West Coast),"Bananas (Other Brands Central America, Delivered at Terminal)",Box (18.14 kg),NOTIFAX (CORBANA). From June 2017 SOPISCO,03-Jan-97 - 22-Oct-25,Dec-96 - Oct-25
IPS,Unspecified,Fish Meal (64/65% Bremen f.c.a.),tonne,Oil World,,Jan-05 - Aug-25
IPS,Unspecified,"Fish oil (Any origin, c.i.f. North West Europe)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Palm oil (Crude, c.i.f. Rotterdam)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Palmkernel meal (Expeller pellets, 21/23%, c.i.f. Rotterdam)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Rape oil (Dutch, f.o.b. ex-mill)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Rapeseed (Europe, 00, c.i.f. Hamburg)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Rapeseed meal (34%, Hamburg, f.o.b. ex-mill)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Soybean meal (44/45%, Hamburg, f.o.b. ex-mill)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Soybean oil (Dutch, f.o.b. ex-mill)",tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,Sunflower oil (f.o.b. North West European Ports),tonne,Oil World,,Jan-96 - Aug-25
IPS,Unspecified,"Sunflowerseed (EU, c.i.f. Amsterdam)",tonne,Oil World,,Jan-06 - Aug-25
IPS,Uruguay,"Rice (5% broken, long grain white, f.o.b., f.c.l.)",tonne,FAO rice price update,,Jan-06 - Sep-25
IPS,Viet Nam,Rice (25% broken),tonne,FAO rice price update,,Jan-00 - Sep-25
IPS,Viet Nam,Rice (5% broken),tonne,FAO rice price update,,Jan-00 - Sep-25
